ID,Time,FD,NH4-N,Chla
C1,0,Control,0.120100001,1.32
C2,0,Control,0.1234546,1.43
C3,0,Control,0.12435467,1.35
C4,0,Control,0.1297853,1.36
L1,0,Low_density,0.12873547,1.36
L2,0,Low_density,0.1248358,1.38
L3,0,Low_density,0.12483567,1.4
L4,0,Low_density,0.12498574,1.3
H1,0,High_density,0.1248358,1.35
H2,0,High_density,0.129876867,1.39
H3,0,High_density,0.124868848,1.32
H4,0,High_density,0.127475894,1.35
C1,1,Control,0.123424,1.28
C2,1,Control,0.132425,1.52
C3,1,Control,0.11232424,2.87
C4,1,Control,0.123242,1.8
L1,1,Low_density,0.203234,1.56
L2,1,Low_density,0.142323,1.89
L3,1,Low_density,0.12324,1.67
L4,1,Low_density,0.21232,3.7
H1,1,High_density,0.156785,4.32
H2,1,High_density,0.2424525,1.72
H3,1,High_density,0.267689,1.99
H4,1,High_density,0.17656742,1.65
C1,2,Control,0.135196805,1.24
C2,2,Control,0.158014832,2.51
C3,2,Control,0.123787792,2.83
C4,2,Control,0.118083286,1.7
L1,2,Low_density,0.203650884,1.42
L2,2,Low_density,0.249286937,1.77
L3,2,Low_density,0.209355391,1.7
L4,2,Low_density,0.294922989,3.39
H1,2,High_density,0.186537365,4.38
H2,2,High_density,0.363377068,1.72
H3,2,High_density,0.24358243,1.9
H4,2,High_density,0.180832858,1.27
C1,3,Control,0.129492299,2.75
C2,3,Control,0.129492299,4
C3,3,Control,0.140901312,4.34
C4,3,Control,0.135196805,3.98
L1,3,Low_density,0.118083286,1.94
L2,3,Low_density,0.140901312,1.6
L3,3,Low_density,0.277809469,3.13
L4,3,Low_density,0.163719338,5.24
H1,3,High_density,0.380490588,6.28
H2,3,High_density,0.203650884,8.05
H3,3,High_density,0.140901312,5.13
H4,3,High_density,0.152310325,6.66
C1,4,Control,0.199384615,5.67
C2,4,Control,0.174769231,4.76
C3,4,Control,0.131692308,4.83
C4,4,Control,0.100923077,4.72
L1,4,Low_density,0.119384615,5.36
L2,4,Low_density,0.131692308,5.28
L3,4,Low_density,0.180923077,7.2
L4,4,Low_density,0.107076923,8.55
H1,4,High_density,0.119384615,10.4
H2,4,High_density,0.137846154,11.41
H3,4,High_density,0.408615385,8.59
H4,4,High_density,0.100923077,8.78
C1,5,Control,0.116883117,4.9
C2,5,Control,0.105590062,5.62
C3,5,Control,0.105590062,5.71
C4,5,Control,0.094297007,5.47
L1,5,Low_density,0.094297007,5.62
L2,5,Low_density,0.06606437,6.62
L3,5,Low_density,0.077357425,7.99
L4,5,Low_density,0.094297007,8.04
H1,5,High_density,0.083003953,12.86
H2,5,High_density,0.099943535,8.55
H3,5,High_density,0.08865048,8.62
H4,5,High_density,0.077357425,8.79
C1,6,Control,0.070831009,2.65
C2,6,Control,0.109871723,2.85
C3,6,Control,0.109871723,1.87
C4,6,Control,0.070831009,0.7
L1,6,Low_density,0.065253765,7.12
L2,6,Low_density,0.104294479,4.85
